"日期","收盘","开盘","高","低","涨跌幅"
"2017年11月12日","16.9140","17.0937","17.1609","16.8929","-1.06%"
"2017年11月5日","17.0950","17.1593","17.2817","17.0277","-0.51%"
"2017年10月29日","17.1825","17.1030","17.3072","17.0006","0.53%"
"2017年10月22日","17.0919","17.1706","17.2340","17.0540","-0.31%"
"2017年10月15日","17.1459","17.0238","17.1550","16.9312","0.86%"
"2017年10月8日","17.0003","16.9405","17.1186","16.8849","0.41%"
"2017年10月1日","16.9305","16.9169","17.0508","16.8823","0.14%"
"2017年9月24日","16.9072","16.9885","17.0720","16.8263","-0.49%"
"2017年9月17日","16.9904","16.9187","17.1243","16.8891","0.44%"
"2017年9月10日","16.9164","16.6879","17.0179","16.6118","1.67%"
"2017年9月3日","16.6385","16.6797","16.8329","16.5867","-1.03%"
"2017年8月27日","16.8110","16.4244","16.8436","16.4023","2.23%"
"2017年8月20日","16.4450","16.3955","16.5053","16.2982","0.47%"
"2017年8月13日","16.3680","16.3590","16.5845","16.2866","-0.09%"
"2017年8月6日","16.3825","16.4430","16.5399","16.3193","-0.40%"
"2017年7月30日","16.4491","16.4239","16.5079","16.3514","0.14%"
"2017年7月23日","16.4255","16.4144","16.6125","16.3701","0.02%"
"2017年7月16日","16.4218","16.6087","16.6732","16.4042","-1.12%"
"2017年7月9日","16.6084","16.7455","16.8333","16.5651","-0.75%"
"2017年7月2日","16.7346","16.5380","16.7772","16.5085","0.98%"
"2017年6月25日","16.5730","16.2538","16.6597","16.2538","1.81%"
"2017年6月18日","16.2784","16.2800","16.3957","16.2455","-0.00%"
"2017年6月11日","16.2787","16.2356","16.3558","16.0197","0.29%"
"2017年6月4日","16.2320","16.1956","16.3011","16.0609","0.14%"
"2017年5月28日","16.2096","16.2376","16.4172","16.1414","-0.20%"
"2017年5月21日","16.2416","16.1732","16.3345","16.0996","0.49%"
"2017年5月14日","16.1620","16.4062","16.5185","15.9957","-1.62%"
"2017年5月7日","16.4284","16.3717","16.5685","16.2796","0.60%"
"2017年4月30日","16.3298","16.1405","16.3940","16.1245","0.92%"
"2017年4月23日","16.1812","16.0399","16.2242","15.9236","2.14%"
"2017年4月16日","15.8418","15.7823","15.9078","15.7111","0.40%"
"2017年4月9日","15.7783","16.1017","16.1712","15.7652","-1.98%"
"2017年4月2日","16.0962","16.1720","16.2010","15.9633","-0.48%"
"2017年3月26日","16.1745","16.1604","16.2828","16.0130","0.00%"
"2017年3月19日","16.1745","16.3282","16.3745","16.0713","-0.94%"
"2017年3月12日","16.3275","16.6142","16.6607","16.3028","-1.69%"
"2017年3月5日","16.6075","16.5363","16.7112","16.4704","0.46%"
"2017年2月26日","16.5307","16.3152","16.6394","16.2650","1.21%"
"2017年2月19日","16.3327","16.4383","16.5338","16.2934","-0.64%"
"2017年2月12日","16.4385","16.4803","16.7233","16.3980","-0.13%"
"2017年2月5日","16.4593","16.3554","16.5648","16.2379","0.32%"
"2017年1月29日","16.4062","16.7229","16.7300","16.2799","-1.89%"
"2017年1月22日","16.7228","16.6352","16.7677","16.4210","0.32%"
"2017年1月15日","16.6693","16.6047","16.8295","16.4257","0.43%"
"2017年1月8日","16.5973","16.8900","16.9562","16.4698","-1.76%"
"2017年1月1日","16.8950","16.8559","17.0392","16.6991","0.38%"
"2016年12月25日","16.8316","16.8885","16.9363","16.6852","-0.37%"
"2016年12月18日","16.8937","16.9403","17.0248","16.7614","-0.34%"
"2016年12月11日","16.9520","16.6810","17.1097","16.6117","1.47%"
"2016年12月4日","16.7062","16.4902","16.7062","16.3915","1.29%"
"2016年11月27日","16.4931","16.3433","16.6789","16.1466","0.93%"
"2016年11月20日","16.3415","16.1024","16.4752","15.9978","1.46%"
"2016年11月13日","16.1062","15.6384","16.1106","15.6355","2.85%"
"2016年11月6日","15.6594","15.2652","15.7357","14.9710","2.58%"
"2016年10月30日","15.2654","15.4451","15.5334","15.1793","-1.17%"
"2016年10月23日","15.4456","15.3487","15.5715","15.3241","0.66%"
"2016年10月16日","15.3450","15.4687","15.5192","15.3040","-0.90%"
"2016年10月9日","15.4848","15.4588","15.5734","15.3417","0.38%"
"2016年10月2日","15.4259","15.1936","15.6131","15.1697","1.55%"
"2016年9月25日","15.1905","15.1505","15.2788","15.0134","0.31%"
"2016年9月18日","15.1430","15.3148","15.4024","14.9956","-1.21%"
"2016年9月11日","15.3289","15.3820","15.4978","15.1845","-0.32%"
"2016年9月4日","15.3780","15.5580","15.5850","15.1625","-1.21%"
"2016年8月28日","15.5662","15.2594","15.6171","15.2401","1.98%"
"2016年8月21日","15.2640","15.0966","15.2790","14.9985","1.33%"
"2016年8月14日","15.0635","15.2395","15.2892","15.0191","-1.34%"
"2016年8月7日","15.2675","15.2811","15.4273","15.1966","-0.18%"
"2016年7月31日","15.2950","15.3840","15.4841","15.1844","-0.54%"
"2016年7月24日","15.3788","15.8774","15.9721","15.3608","-3.16%"
"2016年7月17日","15.8807","15.7571","16.1001","15.7047","1.31%"
"2016年7月10日","15.6748","15.0263","15.9128","15.0263","4.27%"
"2016年7月3日","15.0335","15.4023","15.4315","14.9521","-2.41%"
"2016年6月26日","15.4041","15.4060","15.5515","15.2436","-0.22%"
"2016年6月19日","15.4384","15.8489","16.2532","15.0054","-2.32%"
"2016年6月12日","15.8043","16.2958","16.2973","15.7430","-3.06%"
"2016年6月5日","16.3039","16.2209","16.4262","16.1942","0.48%"
"2016年5月29日","16.2267","16.8213","16.9328","16.2222","-3.39%"
"2016年5月22日","16.7958","16.8142","16.8383","16.6397","-0.14%"
"2016年5月15日","16.8194","16.6121","16.8876","16.5937","1.15%"
"2016年5月8日","16.6282","16.4798","16.7862","16.4644","0.90%"
"2016年5月1日","16.4804","16.4259","16.5314","16.3120","0.31%"
"2016年4月24日","16.4294","17.1590","17.2221","16.4170","-4.46%"
"2016年4月17日","17.1959","16.7084","17.2005","16.6364","2.38%"
"2016年4月10日","16.7963","16.7154","16.9332","16.6457","0.51%"
"2016年4月3日","16.7118","17.2472","17.2642","16.6633","-3.04%"
"2016年3月27日","17.2360","17.3515","17.4842","17.2221","-0.67%"
"2016年3月20日","17.3527","17.2248","17.3949","17.1526","0.65%"
"2016年3月13日","17.2400","17.5324","17.5606","17.0787","-1.61%"
"2016年3月6日","17.5228","17.4848","17.5390","17.2312","0.25%"
"2016年2月28日","17.4799","17.4073","17.5567","17.1116","0.29%"
"2016年2月21日","17.4302","17.2645","17.4302","16.9983","0.99%"
"2016年2月14日","17.2590","17.2224","17.6666","17.1981","0.21%"
"2016年2月7日","17.2234","17.7830","17.8803","16.8859","-3.14%"
"2016年1月31日","17.7825","18.4161","18.4785","17.7158","-3.40%"
"2016年1月24日","18.4084","18.0340","18.5072","17.8834","1.96%"
"2016年1月17日","18.0551","17.7624","18.0703","17.6233","1.56%"
"2016年1月10日","17.7778","17.7979","18.0053","17.6843","-0.16%"
"2016年1月3日","17.8057","18.5279","18.5556","17.8027","-3.91%"
